seed,arm,round,accuracy,macro_f1,loss
57,no_cloud,-1,0.27734375,0.20556814567732382,1.3861028626561165
57,no_cloud,0,0.27734375,0.20556814567732382,1.386102732270956
57,no_cloud,1,0.27734375,0.20556814567732382,1.3861025907099247
57,no_cloud,2,0.27734375,0.20556814567732382,1.3861025627702475
57,no_cloud,3,0.27734375,0.20556814567732382,1.3861024491488934
57,no_cloud,4,0.27734375,0.20556814567732382,1.3861023113131523
57,no_cloud,5,0.27734375,0.20556814567732382,1.3861022517085075
57,no_cloud,6,0.27734375,0.20556814567732382,1.3861022125929594
57,no_cloud,7,0.27734375,0.20556814567732382,1.3861021976917982
57,no_cloud,8,0.27734375,0.20556814567732382,1.3861021604388952
57,no_cloud,9,0.27734375,0.20556814567732382,1.3861020766198635
57,no_cloud,10,0.27734375,0.20556814567732382,1.3861020039767027
57,no_cloud,11,0.27734375,0.20556814567732382,1.3861019164323807
57,no_cloud,12,0.27734375,0.20556814567732382,1.3861019182950258
57,no_cloud,13,0.27734375,0.20556814567732382,1.3861018307507038
57,no_cloud,14,0.27734375,0.20556814567732382,1.3861017860472202
57,no_cloud,15,0.27734375,0.20556814567732382,1.3861017115414143
57,no_cloud,16,0.27734375,0.20556814567732382,1.3861016500741243
57,no_cloud,17,0.27734375,0.20556814567732382,1.3861016370356083
57,no_cloud,18,0.27734375,0.20556814567732382,1.3861015867441893
57,no_cloud,19,0.27734375,0.20556814567732382,1.386101583018899
57,no_cloud,20,0.27734375,0.20556814567732382,1.3861014898866415
57,no_cloud,21,0.27734375,0.20556814567732382,1.3861014302819967
57,no_cloud,22,0.27734375,0.20556814567732382,1.3861012775450945
57,no_cloud,23,0.27734375,0.20556814567732382,1.3861012682318687
57,no_cloud,24,0.27734375,0.20556814567732382,1.3861012142151594
57,no_cloud,25,0.27734375,0.20556814567732382,1.3861012067645788
57,no_cloud,26,0.27734375,0.20556814567732382,1.386101121082902
57,no_cloud,27,0.27734375,0.20556814567732382,1.3861011117696762
57,no_cloud,28,0.27734375,0.20556814567732382,1.3861010540276766
57,no_cloud,29,0.27734375,0.20556814567732382,1.3861009683459997
57,no_cloud,30,0.27734375,0.20556814567732382,1.386100908741355
57,no_cloud,31,0.27734375,0.20556814567732382,1.3861008509993553
57,no_cloud,32,0.27734375,0.20556814567732382,1.3861008416861296
57,no_cloud,33,0.27734375,0.20556814567732382,1.386100796982646
57,no_cloud,34,0.27734375,0.20556814567732382,1.3861007783561945
57,no_cloud,35,0.27734375,0.20556814567732382,1.386100735515356
57,no_cloud,36,0.27734375,0.20556814567732382,1.3861007411032915
57,no_cloud,37,0.27734375,0.20556814567732382,1.3861007373780012
57,no_cloud,38,0.27734375,0.20556814567732382,1.3861007448285818
57,no_cloud,39,0.27734375,0.20556814567732382,1.3861007373780012
57,no_cloud,40,0.27734375,0.20556814567732382,1.3861006833612919
57,no_cloud,41,0.27734375,0.20556814567732382,1.3861006665974855
57,no_cloud,42,0.27734375,0.20556814567732382,1.3861006703227758
57,no_cloud,43,0.27734375,0.20556814567732382,1.386100672185421
57,no_cloud,44,0.27734375,0.20556814567732382,1.386100659146905
57,no_cloud,45,0.27734375,0.20556814567732382,1.3861006423830986
57,no_cloud,46,0.27734375,0.20556814567732382,1.3861006498336792
57,no_cloud,47,0.27734375,0.20556814567732382,1.3861006330698729
57,no_cloud,48,0.27734375,0.20556814567732382,1.386100621894002
57,no_cloud,49,0.27734375,0.20556814567732382,1.3861006293445826
57,client_syn,-1,0.27734375,0.20556814567732382,1.3861028645187616
57,client_syn,0,0.29296875,0.23554742492635536,1.3791547045111656
57,client_syn,1,0.353515625,0.32137243013202704,1.3722761552780867
57,client_syn,2,0.435546875,0.419755077488152,1.3645465020090342
57,client_syn,3,0.494140625,0.4679544308760203,1.3570356648415327
57,client_syn,4,0.51953125,0.4904804540029798,1.351390877738595
57,client_syn,5,0.525390625,0.4951062154638305,1.347521660849452
57,client_syn,6,0.541015625,0.5097491095626723,1.3414960633963346
57,client_syn,7,0.607421875,0.5949856935654253,1.3336029089987278
57,client_syn,8,0.623046875,0.6104815799692527,1.3292237538844347
57,client_syn,9,0.642578125,0.6297364372884834,1.3238388132303953
57,client_syn,10,0.658203125,0.6433861244569556,1.3182738572359085
57,client_syn,11,0.673828125,0.65944283930129,1.3130409996956587
57,client_syn,12,0.697265625,0.6838760159541688,1.3074366431683302
57,client_syn,13,0.697265625,0.6829823231525058,1.3024571519345045
57,client_syn,14,0.7109375,0.6947441438570664,1.2965731583535671
57,client_syn,15,0.716796875,0.7020657978097566,1.2915190886706114
57,client_syn,16,0.708984375,0.6906735450342008,1.2892936747521162
57,client_syn,17,0.734375,0.7212524967448831,1.2836222033947706
57,client_syn,18,0.728515625,0.712425189114801,1.2800897508859634
57,client_syn,19,0.734375,0.7170315394012757,1.2755563464015722
57,client_syn,20,0.734375,0.7159885400966477,1.2723285555839539
57,client_syn,21,0.748046875,0.7316603987710338,1.2669698614627123
57,client_syn,22,0.748046875,0.7331832323784373,1.2630115430802107
57,client_syn,23,0.75,0.7364291513973639,1.2595765367150307
57,client_syn,24,0.751953125,0.7399100073352486,1.2547912113368511
